bank_name,filing_date,filing_year,risk_factors_length,mda_length,rf_hedging_density,rf_severe_density,rf_sentiment_compound,rf_sentiment_negative,rf_word_count,mda_hedging_density,mda_severe_density,mda_sentiment_compound,mda_sentiment_negative,mda_word_count,rf_length_yoy_change,mda_length_yoy_change
Webster Financial,2025-03-03,2025,0,100000,,,,,0.0,22.742211121335615,0.0,0.9683749999999998,0.03650000000000001,15214.0,,inf
Webster Financial,2026-02-27,2026,0,98891,,,,,0.0,22.182492385114553,0.0,0.9842300000000002,0.0374,15102.0,,-0.011090000000000044
Western Alliance Bancorporation,2017-02-27,2017,0,0,,,,,0.0,,,,,0.0,,
Western Alliance Bancorporation,2018-02-26,2018,0,0,,,,,0.0,,,,,0.0,,
Western Alliance Bancorporation,2019-02-22,2019,0,0,,,,,0.0,,,,,0.0,,
Western Alliance Bancorporation,2020-03-02,2020,100000,0,49.014384656366545,0.06659563132658497,0.501855,0.07565,15016.0,,,,,0.0,inf,
Western Alliance Bancorporation,2021-02-26,2021,91259,0,52.41288817611896,0.07289692374981775,0.4253631578947368,0.07836842105263157,13718.0,,,,,0.0,-0.08740999999999999,
Western Alliance Bancorporation,2022-02-25,2022,0,0,,,,,0.0,,,,,0.0,-1.0,
Western Alliance Bancorporation,2025-03-18,2025,0,0,,,,,0.0,,,,,0.0,,
Wintrust Financial,2018-02-28,2018,0,100000,,,,,0.0,49.3414586200118,0.327632527357316,0.317565,0.0794,15261.0,,
Wintrust Financial,2019-02-28,2019,0,100000,,,,,0.0,47.46918436926305,0.3278258589037503,0.4895250000000001,0.07880000000000001,15252.0,,0.0
Wintrust Financial,2020-02-28,2020,0,0,,,,,0.0,,,,,0.0,,-1.0
Wintrust Financial,2021-02-26,2021,0,0,,,,,0.0,,,,,0.0,,
Wintrust Financial,2022-02-25,2022,0,56983,,,,,0.0,53.649050560512464,0.34317089910775567,0.17305,0.09075000000000001,8742.0,,inf
Wintrust Financial,2023-02-28,2023,0,58401,,,,,0.0,52.92666517156313,0.3363982955819691,0.1729833333333333,0.09899999999999999,8918.0,,0.0248846147096502
Wintrust Financial,2024-02-28,2024,0,64268,,,,,0.0,54.567875860651526,0.4110574452779776,-0.09712307692307692,0.09892307692307695,9731.0,,0.10046060855122341
Wintrust Financial,2025-02-28,2025,0,70477,,,,,0.0,51.849749266723435,0.3784653231147696,0.07715333333333334,0.09146666666666667,10569.0,,0.09661106616045312
Wintrust Financial,2026-02-26,2026,0,71930,,,,,0.0,52.55325086038508,0.37205841317086785,0.031620000000000016,0.0934,10751.0,,0.020616655078961932
Zions Bancorporation,2021-02-25,2021,0,0,,,,,0.0,,,,,0.0,,
Zions Bancorporation,2022-02-25,2022,0,100000,,,,,0.0,33.70936519591483,0.2670048728389293,0.688375,0.05849999999999998,14981.0,,inf
Zions Bancorporation,2023-02-23,2023,0,100000,,,,,0.0,35.955356546147165,0.2673260709750719,0.55967,0.06774999999999999,14963.0,,0.0
Zions Bancorporation,2024-02-23,2024,0,0,,,,,0.0,,,,,0.0,,-1.0
Zions Bancorporation,2025-02-25,2025,0,0,,,,,0.0,,,,,0.0,,
Zions Bancorporation,2026-02-24,2026,0,0,,,,,0.0,,,,,0.0,,
